NTD,Agency,Mode,TOS,Organization,UZA_ID,UZA_Name,UZA_Area,UZA_Pop,SA_Area,SA_Pop,Passenger_Miles,Unlinked_Trips,Avg_Trip_Length, Fares , Operating_Expenses , Average_Cost , Average_Fare 
30026,City of Williamsport,MB,DO,"City, County or Local Government Unit or Department of Transportation",462,"Williamsport, PA",27,56142,92,69764,6527261,1310695,4.98,843160,8063312,6.15,0.64
30027,Central Pennsylvania Transportation Authority,CB,DO,Independent Public Agency or Authority of Transit Service,158,"York, PA",132,232045,5060,1232111,1852074,74723,24.79,230741,1452552,19.44,3.09
30027,Central Pennsylvania Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,158,"York, PA",132,232045,5060,1232111,7143011,569810,12.54,13446929,12878902,22.60,23.60
30027,Central Pennsylvania Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,158,"York, PA",132,232045,5060,1232111,1070679,75358,14.21,48092,1757615,23.32,0.64
30027,Central Pennsylvania Transportation Authority,DR,TX,Independent Public Agency or Authority of Transit Service,158,"York, PA",132,232045,5060,1232111,11371,1081,10.52,745,23447,21.69,0.69
30027,Central Pennsylvania Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,158,"York, PA",132,232045,5060,1232111,5848059,1510854,3.87,1502066,10207180,6.76,0.99
30030,Washington Metropolitan Area Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,950,3719567,21875322,2212686,9.89,8058636,156173845,70.58,3.64
30030,Washington Metropolitan Area Transit Authority,DR,TX,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,950,3719567,2502448,135638,18.45,722503,18592915,137.08,5.33
30030,Washington Metropolitan Area Transit Authority,HR,DO,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,950,3719567,1313511151,228974810,5.74,533518013,1112675403,4.86,2.33
30030,Washington Metropolitan Area Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,950,3719567,358532948,122127065,2.94,120290807,721829401,5.91,0.98
30030,Washington Metropolitan Area Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,950,3719567,9025834,1206050,7.48,3720334,10116607,8.39,3.08
30034,Maryland Transit Administration,CB,PT,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,104182716,3623587,28.75,18889000,64999296,17.94,5.21
30034,Maryland Transit Administration,CR,PT,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,271391388,9190885,29.53,50023000,165458115,18.00,5.44
30034,Maryland Transit Administration,DR,DO,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,135581,17160,7.90,17675,1909591,111.28,1.03
30034,Maryland Transit Administration,DR,PT,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,21841558,2135482,10.23,2397001,111623095,52.27,1.12
30034,Maryland Transit Administration,DR,TX,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,4399151,839857,5.24,2042712,26489120,31.54,2.43
30034,Maryland Transit Administration,HR,DO,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,32470539,7275335,4.46,10449300,77925584,10.71,1.44
30034,Maryland Transit Administration,LR,DO,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,39816955,6966072,5.72,6146500,47917891,6.88,0.88
30034,Maryland Transit Administration,MB,DO,State Government Unit or Department of Transportation,19,"Baltimore, MD",717,2203663,2560,7811145,250693380,63988571,3.92,44870600,339883861,5.31,0.70
30035,Ohio Valley Regional Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,353,"Wheeling, WV-OH",47,81249,27,57416,19404,3944,4.92,10616,376424,95.44,2.69
30035,Ohio Valley Regional Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,353,"Wheeling, WV-OH",47,81249,27,57416,1315760,375513,3.50,395699,3902653,10.39,1.05
30044,Westmoreland County ,DR,TX,"City, County or Local Government Unit or Department of Transportation",27,"Pittsburgh, PA",905,1733853,668,296066,2173142,185834,11.69,5095755,4965284,26.72,27.42
30044,Westmoreland County ,MB,PT,"City, County or Local Government Unit or Department of Transportation",27,"Pittsburgh, PA",905,1733853,668,296066,5397493,406744,13.27,1002392,5630168,13.84,2.46
30045,"JAUNT, Inc.",CB,DO,Other Publicly-Owned or Privately Chartered Corporation,317,"Charlottesville, VA",35,92359,2595,249823,787924,39953,19.72,130497,1156624,28.95,3.27
30045,"JAUNT, Inc.",DR,DO,Other Publicly-Owned or Privately Chartered Corporation,317,"Charlottesville, VA",35,92359,2595,249823,2248618,276594,8.13,857760,6923983,25.03,3.10
30048,County of Howard,DR,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,251,321113,782649,83562,9.37,203530,3255312,38.96,2.44
30048,County of Howard,DR,TX,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,251,321113,119579,15766,7.58,44676,184134,11.68,2.83
30048,County of Howard,MB,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,251,321113,3521372,652106,5.40,548100,10595834,16.25,0.84
30051,"Montgomery County, Maryland",MB,DO,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,495,971777,82518001,20596520,4.01,20508757,124622335,6.05,1.00
30054,Centre Area Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,335,"State College, PA",29,87454,92,104135,203316,30126,6.75,96989,997268,33.10,3.22
30054,Centre Area Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,335,"State College, PA",29,87454,92,104135,19808163,6413232,3.09,6832035,17050745,2.66,1.07
30054,Centre Area Transportation Authority,VP,DO,Independent Public Agency or Authority of Transit Service,335,"State College, PA",29,87454,92,104135,6526825,159394,40.95,333348,499840,3.14,2.09
30057,Pennsylvania Department of Transportation,CR,PT,State Government Unit or Department of Transportation,5,"Philadelphia, PA-NJ-DE-MD",1981,5441567,2092,3371466,137797164,1567697,87.90,40868700,48600722,31.00,26.07
30058,City of Fairfax,MB,DO,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,6,22565,2040146,601813,3.39,1128298,4208277,6.99,1.87
30061,Mid Mon Valley Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,417,"Monessen-California, PA",45,66086,44,79666,4404376,288056,15.29,597539,4107245,14.26,2.07
30068,"Fairfax County, VA",MB,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,407,1152873,42435830,8334449,5.09,10908090,85469022,10.25,1.31
30070,Potomac and Rappahannock Transportation Commission,CB,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,361,454096,37151347,1491423,24.91,10493227,17514811,11.74,7.04
30070,Potomac and Rappahannock Transportation Commission,MB,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,361,454096,8145258,871765,9.34,742295,15807559,18.13,0.85
30070,Potomac and Rappahannock Transportation Commission,VP,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,361,454096,65137108,1449867,44.93,10246879,6604750,4.56,7.07
30071,City of Alexandria,DR,TX,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,16,139966,383665,66002,5.81,221487,1820074,27.58,3.36
30071,City of Alexandria,MB,DO,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,16,139966,7389667,3930674,1.88,4255954,19888055,5.06,1.08
30072,"Frederick County, Maryland",DR,DO,"City, County or Local Government Unit or Department of Transportation",230,"Frederick, MD",73,141576,18,70036,344577,42661,8.08,539329,1375975,32.25,12.64
30072,"Frederick County, Maryland",MB,DO,"City, County or Local Government Unit or Department of Transportation",230,"Frederick, MD",73,141576,18,70036,2942534,551192,5.34,564693,5698651,10.34,1.02
30073,Virginia Railway Express,CR,PT,Independent Public Agency or Authority of Transit Service,8,"Washington, DC-VA-MD",1322,4586770,730,2238365,135051068,4408114,30.64,41990599,77130588,17.50,9.53
30075,Delaware Transit Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,5,"Philadelphia, PA-NJ-DE-MD",1981,5441567,1949,967171,10746001,844260,12.73,4498664,51469570,60.96,5.33
30075,Delaware Transit Corporation,DR,PT,Independent Public Agency or Authority of Transit Service,5,"Philadelphia, PA-NJ-DE-MD",1981,5441567,1949,967171,1331679,102347,13.01,104336,5157869,50.40,1.02
30075,Delaware Transit Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,5,"Philadelphia, PA-NJ-DE-MD",1981,5441567,1949,967171,32498664,6661569,4.88,7326183,61439413,9.22,1.10
30075,Delaware Transit Corporation,MB,PT,Independent Public Agency or Authority of Transit Service,5,"Philadelphia, PA-NJ-DE-MD",1981,5441567,1949,967171,3757274,501082,7.50,616312,8685240,17.33,1.23
30076,Williamsburg Area Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,371,"Williamsburg, VA",56,75689,144,153600,95480,11678,8.18,35033,618698,52.98,3.00
30076,Williamsburg Area Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,371,"Williamsburg, VA",56,75689,144,153600,3689047,842482,4.38,924408,4745630,5.63,1.10
30076,Williamsburg Area Transit Authority,MB,PT,Independent Public Agency or Authority of Transit Service,371,"Williamsburg, VA",56,75689,144,153600,1630401,1265282,1.29,29776,1739446,1.37,0.02
30077,Borough of Pottstown,DR,PT,"City, County or Local Government Unit or Department of Transportation",287,"Pottstown, PA",79,107682,34,54000,16539,5614,2.95,25264,201768,35.94,4.50
30077,Borough of Pottstown,MB,PT,"City, County or Local Government Unit or Department of Transportation",287,"Pottstown, PA",79,107682,34,54000,255834,223639,1.14,315674,1995531,8.92,1.41
30078,Southwestern Pennsylvania Commission,VP,PT,"MPO, COG or Other Planning Agency",27,"Pittsburgh, PA",905,1733853,833,1614197,4930110,153697,32.08,399819,403694,2.63,2.60
30080,"Arlington County, Virginia",DR,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,26,226400,322903,41240,7.83,160121,2097461,50.86,3.88
30080,"Arlington County, Virginia",DR,TX,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,26,226400,247418,47409,5.22,294913,1143079,24.11,6.22
30080,"Arlington County, Virginia",MB,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,26,226400,5941303,2829200,2.10,3659929,14893708,5.26,1.29
30081,Loudoun County,CB,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,520,373694,39606144,1318377,30.04,9395270,12894969,9.78,7.13
30081,Loudoun County,DR,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,520,373694,77636,13711,5.66,25534,757325,55.23,1.86
30081,Loudoun County,MB,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,520,373694,2174825,376033,5.78,197254,4524862,12.03,0.52
30083,Transportation District Commission of Hampton Roads,DR,PT,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,3228117,326443,9.89,965108,7401716,22.67,2.96
30083,Transportation District Commission of Hampton Roads,DR,TX,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,479077,46933,10.21,179652,942231,20.08,3.83
30083,Transportation District Commission of Hampton Roads,FB,PT,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,214237,301321,0.71,321587,1711964,5.68,1.07
30083,Transportation District Commission of Hampton Roads,LR,DO,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,4798117,1428956,3.36,1581495,11662495,8.16,1.11
30083,Transportation District Commission of Hampton Roads,MB,DO,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,59926216,11102350,5.40,12271641,74333854,6.70,1.11
30083,Transportation District Commission of Hampton Roads,VP,PT,Independent Public Agency or Authority of Transit Service,34,"Virginia Beach, VA",515,1439666,432,1142181,4140665,126761,32.67,436601,496920,3.92,3.44
30085,"Prince George's County, Maryland",DR,DO,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,487,908308,504907,74249,6.80,0,4300127,57.91,0.00
30085,"Prince George's County, Maryland",MB,PT,"City, County or Local Government Unit or Department of Transportation",8,"Washington, DC-VA-MD",1322,4586770,487,908308,19918684,2570692,7.75,1511958,28724804,11.17,0.59
30087,County of Fayette,DR,DO,"City, County or Local Government Unit or Department of Transportation",487,"Uniontown-Connellsville, PA",39,51370,812,136606,1672229,119160,14.03,107767,2300501,19.31,0.90
30087,County of Fayette,DR,PT,"City, County or Local Government Unit or Department of Transportation",487,"Uniontown-Connellsville, PA",39,51370,812,136606,62388,2613,23.88,1747,66935,25.62,0.67
30087,County of Fayette,MB,DO,"City, County or Local Government Unit or Department of Transportation",487,"Uniontown-Connellsville, PA",39,51370,812,136606,1051818,103079,10.20,161968,1290828,12.52,1.57
30087,County of Fayette,MB,PT,"City, County or Local Government Unit or Department of Transportation",487,"Uniontown-Connellsville, PA",39,51370,812,136606,204057,26317,7.75,21539,669540,25.44,0.82
30088,"County Commissioners of Charles County, MD",DR,PT,"City, County or Local Government Unit or Department of Transportation",283,"Waldorf, MD",68,109919,458,159700,383430,44012,8.71,28990,1101783,25.03,0.66
30088,"County Commissioners of Charles County, MD",MB,PT,"City, County or Local Government Unit or Department of Transportation",283,"Waldorf, MD",68,109919,458,159700,5338740,762448,7.00,402711,5419079,7.11,0.53
30091,Town of Blacksburg,DR,DO,"City, County or Local Government Unit or Department of Transportation",328,"Blacksburg, VA",51,88542,34,73554,89122,28453,3.13,12094,1126722,39.60,0.43
30091,Town of Blacksburg,MB,DO,"City, County or Local Government Unit or Department of Transportation",328,"Blacksburg, VA",51,88542,34,73554,7913570,4630600,1.71,2401606,8009532,1.73,0.52
30094,City of Harrisonburg,DR,DO,"City, County or Local Government Unit or Department of Transportation",413,"Harrisonburg, VA",33,66784,17,54809,104368,32311,3.23,166859,700029,21.67,5.16
30094,City of Harrisonburg,MB,DO,"City, County or Local Government Unit or Department of Transportation",413,"Harrisonburg, VA",33,66784,17,54809,4347961,2088147,2.08,1777758,4256294,2.04,0.85
30095,County of Lebanon Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,366,"Lebanon, PA",45,77086,362,133568,407909,50066,8.15,995663,1440266,28.77,19.89
30095,County of Lebanon Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,366,"Lebanon, PA",45,77086,362,133568,1647054,313392,5.26,356583,2951162,9.42,1.14
30096,The Tri-County Council for the Lower Eastern Shore of Maryland,DR,DO,Independent Public Agency or Authority of Transit Service,307,"Salisbury, MD-DE",71,98081,1031,176658,750665,63716,11.78,280307,2847956,44.70,4.40
30096,The Tri-County Council for the Lower Eastern Shore of Maryland,MB,DO,Independent Public Agency or Authority of Transit Service,307,"Salisbury, MD-DE",71,98081,1031,176658,7082878,261380,27.10,342597,3775198,14.44,1.31
30107,West Virginia University - Morgantown Personal Rapid Transit,MG,DO,University,393,"Morgantown, WV",37,70350,12,60547,2788434,1469292,1.90,7124421,5823917,3.96,4.85
30111,Washington County Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,27,"Pittsburgh, PA",905,1733853,861,207820,1875282,203835,9.20,214696,5007106,24.56,1.05
30111,Washington County Transportation Authority,MB,PT,Independent Public Agency or Authority of Transit Service,27,"Pittsburgh, PA",905,1733853,861,207820,1386594,102068,13.59,160209,1564884,15.33,1.57
30112,DDOT - Progressive Transportation Services Administration,MB,PT,State Government Unit or Department of Transportation,8,"Washington, DC-VA-MD",1322,4586770,24,317779,7152497,5465393,1.31,0,26856414,4.91,0.00
30112,DDOT - Progressive Transportation Services Administration,SR,PT,State Government Unit or Department of Transportation,8,"Washington, DC-VA-MD",1322,4586770,24,317779,920891,1185571,0.78,0,8966954,7.56,0.00
30129,Anne Arundel County,DR,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,398,564000,947255,124255,7.62,0,3587897,28.88,0.00
30129,Anne Arundel County,MB,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,398,564000,1529220,170922,8.95,224045,2444307,14.30,1.31
30137,Monroe County Transportation  Authority,DR,DO,Independent Public Agency or Authority of Transit Service,472,"East Stroudsburg, PA-NJ",52,54316,610,169507,1489540,85061,17.51,231961,2435568,28.63,2.73
30137,Monroe County Transportation  Authority,DR,TX,Independent Public Agency or Authority of Transit Service,472,"East Stroudsburg, PA-NJ",52,54316,610,169507,10546,237,44.50,8295,9119,38.48,35.00
30137,Monroe County Transportation  Authority,MB,DO,Independent Public Agency or Authority of Transit Service,472,"East Stroudsburg, PA-NJ",52,54316,610,169507,1965351,251527,7.81,321873,3484907,13.86,1.28
30201,City of Baltimore,FB,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,81,621849,142126,332561,0.43,0,836356,2.51,0.00
30201,City of Baltimore,MB,PT,"City, County or Local Government Unit or Department of Transportation",19,"Baltimore, MD",717,2203663,81,621849,2355200,1400238,1.68,0,3660857,2.61,0.00
30202,South Central Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,91,"Lancaster, PA",248,402004,1848,949401,1118056,177759,6.29,133679,3827983,21.53,0.75
30202,South Central Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,91,"Lancaster, PA",248,402004,1848,949401,3996361,340182,11.75,398978,8350845,24.55,1.17
30202,South Central Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,91,"Lancaster, PA",248,402004,1848,949401,20019031,4534323,4.42,4946688,21269557,4.69,1.09
40001,Chattanooga Area Regional Transportation Authority,DR,DO,"City, County or Local Government Unit or Department of Transportation",100,"Chattanooga, TN-GA",300,381112,289,167674,512910,56064,9.15,135474,2496147,44.52,2.42
40001,Chattanooga Area Regional Transportation Authority,IP,DO,"City, County or Local Government Unit or Department of Transportation",100,"Chattanooga, TN-GA",300,381112,289,167674,422784,491439,0.86,3021449,2155392,4.39,6.15
40001,Chattanooga Area Regional Transportation Authority,MB,DO,"City, County or Local Government Unit or Department of Transportation",100,"Chattanooga, TN-GA",300,381112,289,167674,6952053,2095796,3.32,1814660,16631235,7.94,0.87
40002,City of Knoxville,DR,DO,"City, County or Local Government Unit or Department of Transportation",74,"Knoxville, TN",438,558696,104,187500,481896,67311,7.16,174073,2222102,33.01,2.59
40002,City of Knoxville,MB,DO,"City, County or Local Government Unit or Department of Transportation",74,"Knoxville, TN",438,558696,104,187500,7948461,2685291,2.96,1953805,20320707,7.57,0.73
40003,City of Memphis,DR,DO,"City, County or Local Government Unit or Department of Transportation",41,"Memphis, TN-MS-AR",497,1060061,281,708275,2190799,192927,11.36,473119,8190372,42.45,2.45
40003,City of Memphis,MB,DO,"City, County or Local Government Unit or Department of Transportation",41,"Memphis, TN-MS-AR",497,1060061,281,708275,32537722,5846425,5.57,5437865,46428790,7.94,0.93
40003,City of Memphis,SR,DO,"City, County or Local Government Unit or Department of Transportation",41,"Memphis, TN-MS-AR",497,1060061,281,708275,452158,370975,1.22,213214,3628003,9.78,0.57
40004,Metropolitan Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,44,"Nashville-Davidson, TN",563,969587,484,692587,3019413,305979,9.87,889472,17927022,58.59,2.91
40004,Metropolitan Transit Authority,DR,TX,Independent Public Agency or Authority of Transit Service,44,"Nashville-Davidson, TN",563,969587,484,692587,1041150,95503,10.90,247898,1887952,19.77,2.60
40004,Metropolitan Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,44,"Nashville-Davidson, TN",563,969587,484,692587,40952295,9285398,4.41,6991099,62982646,6.78,0.75
40005,City of Asheville,MB,PT,"City, County or Local Government Unit or Department of Transportation",133,"Asheville, NC",265,280648,45,89121,6051328,1978720,3.06,509193,7807142,3.95,0.26
40006,Cape Fear Public Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,161,"Wilmington, NC",134,219957,200,223483,347656,59594,5.83,595127,1495644,25.10,9.99
40006,Cape Fear Public Transportation Authority,MB,PT,Independent Public Agency or Authority of Transit Service,161,"Wilmington, NC",134,219957,200,223483,3362500,1194745,2.81,1620427,7180538,6.01,1.36
40006,Cape Fear Public Transportation Authority,VP,DO,Independent Public Agency or Authority of Transit Service,161,"Wilmington, NC",134,219957,200,223483,182721,4392,41.60,14565,48565,11.06,3.32
40007,City of Raleigh,DR,TX,"City, County or Local Government Unit or Department of Transportation",50,"Raleigh, NC",518,884891,125,469298,3444256,493467,6.98,902597,5867748,11.89,1.83
40007,City of Raleigh,MB,DO,"City, County or Local Government Unit or Department of Transportation",50,"Raleigh, NC",518,884891,125,469298,19651541,5271428,3.73,2916518,35597102,6.75,0.55
40008,City of Charlotte North Carolina,CB,PT,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,9787046,691155,14.16,2949369,13704699,19.83,4.27
40008,City of Charlotte North Carolina,DR,DO,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,2707413,256172,10.57,774688,11865325,46.32,3.02
40008,City of Charlotte North Carolina,LR,DO,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,45024652,8006852,5.62,7643956,35607528,4.45,0.95
40008,City of Charlotte North Carolina,MB,PT,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,63280317,14932699,4.24,15857922,92780910,6.21,1.06
40008,City of Charlotte North Carolina,SR,DO,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,256562,279693,0.92,0,1592209,5.69,0.00
40008,City of Charlotte North Carolina,VP,DO,"City, County or Local Government Unit or Department of Transportation",38,"Charlotte, NC-SC",741,1249442,675,1281190,5084146,112082,45.36,389431,1303051,11.63,3.47
40009,City of Fayetteville,DR,DO,"City, County or Local Government Unit or Department of Transportation",122,"Fayetteville, NC",198,310282,95,168441,540945,63423,8.53,117062,2493295,39.31,1.85
40009,City of Fayetteville,MB,DO,"City, County or Local Government Unit or Department of Transportation",122,"Fayetteville, NC",198,310282,95,168441,5706064,1389419,4.11,965265,7307485,5.26,0.69
40012,City of Winston Salem,DR,DO,Independent Public Agency or Authority of Transit Service,95,"Winston-Salem, NC",323,391024,134,244605,1975904,225086,8.78,579879,4435120,19.70,2.58
40012,City of Winston Salem,MB,DO,Independent Public Agency or Authority of Transit Service,95,"Winston-Salem, NC",323,391024,134,244605,7199908,2471647,2.91,1357174,14445525,5.84,0.55
40014,Ms Coast Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,175,"Gulfport, MS",165,208948,87,131450,429468,43990,9.76,29424,1465804,33.32,0.67
40014,Ms Coast Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,175,"Gulfport, MS",165,208948,87,131450,2823561,661992,4.27,636755,4619813,6.98,0.96
40014,Ms Coast Transportation Authority,VP,PT,Independent Public Agency or Authority of Transit Service,175,"Gulfport, MS",165,208948,87,131450,4661207,103552,45.01,513018,458218,4.43,4.95
40015,"City of Jackson, MS",DR,PT,"City, County or Local Government Unit or Department of Transportation",107,"Jackson, MS",242,351478,104,164422,380936,45288,8.41,78148,2416004,53.35,1.73
40015,"City of Jackson, MS",MB,PT,"City, County or Local Government Unit or Department of Transportation",107,"Jackson, MS",242,351478,104,164422,916196,515344,1.78,364977,4560715,8.85,0.71
40017,Lexington Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,131,"Lexington-Fayette, KY",88,290263,284,295803,1632813,227095,7.19,367973,6058442,26.68,1.62
40017,Lexington Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,131,"Lexington-Fayette, KY",88,290263,284,295803,18227725,4364637,4.18,3583615,20204633,4.63,0.82
40017,Lexington Transit Authority,VP,PT,Independent Public Agency or Authority of Transit Service,131,"Lexington-Fayette, KY",88,290263,284,295803,798788,20971,38.09,80770,62052,2.96,3.85
40018,Transit Authority of River City,DR,DO,Independent Public Agency or Authority of Transit Service,43,"Louisville/Jefferson County, KY-IN",477,972546,357,806893,5469,989,5.53,2887,92611,93.64,2.92
40018,Transit Authority of River City,DR,PT,Independent Public Agency or Authority of Transit Service,43,"Louisville/Jefferson County, KY-IN",477,972546,357,806893,3307444,365420,9.05,838818,11051546,30.24,2.30
40018,Transit Authority of River City,DR,TX,Independent Public Agency or Authority of Transit Service,43,"Louisville/Jefferson County, KY-IN",477,972546,357,806893,2517108,257739,9.77,651390,6931361,26.89,2.53
40018,Transit Authority of River City,MB,DO,Independent Public Agency or Authority of Transit Service,43,"Louisville/Jefferson County, KY-IN",477,972546,357,806893,45741658,10762743,4.25,8924498,70881854,6.59,0.83
40018,Transit Authority of River City,MB,PT,Independent Public Agency or Authority of Transit Service,43,"Louisville/Jefferson County, KY-IN",477,972546,357,806893,197662,70093,2.82,881554,332325,4.74,12.58
40019,Transit Authority of Northern Kentucky,DR,DO,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,267,278653,868214,92377,9.40,332844,3482745,37.70,3.60
40019,Transit Authority of Northern Kentucky,MB,DO,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,267,278653,20492439,2910241,7.04,3527912,18534363,6.37,1.21
40021,City of Albany ,DR,DO,"City, County or Local Government Unit or Department of Transportation",309,"Albany, GA",71,95779,17,75616,124722,19286,6.47,42116,699967,36.29,2.18
40021,City of Albany ,MB,DO,"City, County or Local Government Unit or Department of Transportation",309,"Albany, GA",71,95779,17,75616,3985711,754471,5.28,751269,3535200,4.69,1.00
40022,Metropolitan Atlanta Rapid Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,9,"Atlanta, GA",2645,4515419,938,2020636,10373972,808882,12.83,1193940,38231233,47.26,1.48
40022,Metropolitan Atlanta Rapid Transit Authority,HR,DO,Independent Public Agency or Authority of Transit Service,9,"Atlanta, GA",2645,4515419,938,2020636,450023139,65217325,6.90,77048839,206202856,3.16,1.18
40022,Metropolitan Atlanta Rapid Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,9,"Atlanta, GA",2645,4515419,938,2020636,243578326,51447770,4.73,51795373,238999058,4.65,1.01
40022,Metropolitan Atlanta Rapid Transit Authority,SR,DO,Independent Public Agency or Authority of Transit Service,9,"Atlanta, GA",2645,4515419,938,2020636,214087,285077,0.75,126354,5164819,18.12,0.44
40023,Augusta Richmond County Transit Department,DR,PT,"City, County or Local Government Unit or Department of Transportation",98,"Augusta-Richmond County, GA-SC",260,386787,25,201793,148738,28422,5.23,71140,975536,34.32,2.50
40023,Augusta Richmond County Transit Department,MB,PT,"City, County or Local Government Unit or Department of Transportation",98,"Augusta-Richmond County, GA-SC",260,386787,25,201793,2253552,640466,3.52,531608,3714277,5.80,0.83
40025,Chatham Area Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,144,"Savannah, GA",165,260677,328,237736,1442309,111757,12.91,177714,3674847,32.88,1.59
40025,Chatham Area Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,144,"Savannah, GA",165,260677,328,237736,8120,1158,7.01,2597,41768,36.07,2.24
